feature,importance
rainfall_max,0.20348876598652224
rainfall_sum,0.17661046741701347
rainfall_mm,0.17147255052327381
rainfall_3m_cumul,0.13187534460135664
rainfall_lag1,0.09364641394856231
season_code,0.08872907791189814
rainfall_lag3,0.04789671671680876
month,0.037668470013573194
rainfall_lag2,0.027792945592507463
rainfall_anomaly,0.020819247288483927
twi_mean_mean,0.0
twi_mean_std,0.0
dem_mean_mean,0.0
dem_mean_std,0.0
pop_density_mean,0.0
pop_density_std,0.0
flood_risk_mean_mean,0.0
flow_acc_mean_mean,0.0
flow_acc_mean_std,0.0
